		Reproduction_Association		Reproduction_QTL		Milk_Association		Production_Association		Meat_and_Carcass_QTL		Exterior_Association		Milk_QTL		Production_QTL		Health_Association		Meat_and_Carcass_Association		Health_QTL		Exterior_QTL
Chromosome	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	SNP_count	Gene_count	
chr1	129	69	153	65	64	54	89	65	104	47	25	23	783	340	323	142	28	19	48	29	32	15	21	7	
chr2	69	52	46	28	57	44	72	57	121	63	28	27	409	174	46	11	17	17	24	22	98	38	7	5	
chr3	67	52	315	147	61	44	411	285	80	39	25	24	144	85	116	61	32	21	108	56	76	30	27	12	
chr4	37	32	272	96	23	22	80	48	95	41	19	18	93	28	99	34	21	12	23	11	59	34	51	24	
chr5	101	73	237	120	81	67	71	63	586	293	48	45	280	135	24	20	32	28	78	42	66	19	22	12	
chr6	99	48	249	104	368	152	419	166	786	247	44	40	237	66	163	65	42	27	79	29	29	15	179	54	
chr7	60	50	149	105	48	39	105	86	149	77	33	31	209	131	101	67	23	22	62	53	666	318	16	11	
chr8	51	43	130	54	55	35	105	62	473	197	42	25	264	114	60	23	21	9	19	19	76	22	89	40	
chr9	47	40	251	114	28	25	49	34	32	18	11	11	23	7	89	41	4	4	15	10	3	1	1	1	
chr10	63	43	145	77	43	39	72	55	204	76	39	36	144	73	46	30	15	14	40	31	75	34	44	16	
chr11	47	39	194	103	98	78	109	84	122	57	40	35	248	145	11	9	27	24	37	25	56	29	16	6	
chr12	26	13	85	41	20	16	27	25	75	30	12	12	22	9	4	3	37	13	19	13	29	13	34	11	
chr13	45	38	152	99	52	44	55	48	155	94	24	24	269	183	36	12	9	9	62	32	34	24	22	21	
chr14	72	39	187	83	109	53	66	48	323	129	18	14	180	77	303	112	39	23	38	26	10	5	46	15	
chr15	24	22	101	61	35	26	99	64	571	268	13	13	245	106	83	51	12	10	29	24	18	10	28	18	
chr16	50	33	117	59	19	18	53	41	120	48	23	20	208	92	114	50	20	17	54	27	62	16	0	0	
chr17	75	59	114	57	100	58	78	54	81	53	20	17	284	159	72	53	13	11	20	13	15	2	25	19	
chr18	67	59	498	339	43	40	59	57	91	49	19	19	168	95	79	61	108	94	38	24	156	100	43	15	
chr19	84	74	219	152	46	38	70	58	323	223	28	26	405	256	111	43	17	16	107	65	12	9	49	27	
chr20	28	18	114	39	76	52	62	45	55	22	15	12	234	92	133	51	39	22	43	29	30	14	0	0	
chr21	48	36	80	36	26	23	66	49	79	52	22	17	22	12	82	30	16	14	5	5	8	5	15	4	
chr22	53	26	36	12	41	23	62	37	26	7	39	21	294	90	40	11	11	9	14	11	38	16	60	21	
chr23	38	30	133	60	35	26	45	40	19	15	15	13	315	192	60	35	23	20	31	22	158	59	107	76	
chr24	25	17	26	4	21	8	39	28	7	3	8	7	74	31	15	7	5	5	31	15	8	3	26	6	
chr25	33	24	296	169	23	18	60	44	98	65	21	21	7	4	15	8	6	6	19	10	27	13	8	5	
chr26	41	30	102	41	82	59	56	32	305	133	20	17	372	145	27	5	20	19	23	18	18	9	17	6	
chr27	33	16	62	24	15	16	29	20	98	52	9	9	129	55	6	3	3	3	0	0	11	3	0	0	
chr28	36	17	51	18	28	23	28	20	137	45	9	7	64	31	22	16	2	2	7	6	0	0	53	31	
chr29	37	33	33	14	78	54	61	42	293	173	6	4	67	44	58	40	12	7	45	19	27	8	60	32	
chr30	84	75	5	4	33	30	48	39	3	3	41	35	16	11	9	2	14	11	7	2	9	5	0	0	
